trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
313,False,"{'a': 0.995, 'e': 6.248064844301083}",20,0,-155.7168657609342,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
314,False,"{'a': 0.995, 'e': 6.2168245200795775}",20,0,-111.75907833610599,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
315,False,"{'a': 0.995, 'e': 6.185740397479179}",25,0,-221.81144240115316,"{0: 14, 1: 3, 2: 2, 3: 2, 4: 4}",0
316,False,"{'a': 0.995, 'e': 6.154811695491784}",25,0,-197.78935218207795,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
317,False,"{'a': 0.995, 'e': 6.124037637014325}",30,0,-129.24482202636324,"{0: 18, 1: 1, 2: 10, 3: 0, 4: 1}",0
318,False,"{'a': 0.995, 'e': 6.093417448829253}",30,4,-86.27755760259315,"{0: 14, 1: 4, 2: 8, 3: 0, 4: 0}",1
319,False,"{'a': 0.995, 'e': 6.0629503615851075}",25,17,-22.86299614248314,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
320,False,"{'a': 0.995, 'e': 6.032635609777182}",30,0,-156.6359621315009,"{0: 21, 1: 3, 2: 2, 3: 1, 4: 3}",0
321,False,"{'a': 0.995, 'e': 6.002472431728296}",20,0,-71.68065637132926,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
322,False,"{'a': 0.995, 'e': 5.972460069569654}",20,3,-24.7408760208886,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 0}",1
323,False,"{'a': 0.995, 'e': 5.9425977692218055}",30,8,-69.82913076416591,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 0}",1
324,False,"{'a': 0.995, 'e': 5.9128847803756965}",30,0,-156.14904325451678,"{0: 19, 1: 3, 2: 4, 3: 2, 4: 2}",0
325,False,"{'a': 0.995, 'e': 5.883320356473818}",20,0,-181.74445784363328,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
326,False,"{'a': 0.995, 'e': 5.853903754691449}",20,0,-56.060297124822206,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
327,False,"{'a': 0.995, 'e': 5.8246342359179915}",20,0,-180.2246209040439,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 4}",0
328,False,"{'a': 0.995, 'e': 5.795511064738402}",20,0,-80.99412786157995,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
329,False,"{'a': 0.995, 'e': 5.766533509414709}",30,0,-127.49639120097599,"{0: 23, 1: 2, 2: 2, 3: 0, 4: 3}",0
330,False,"{'a': 0.995, 'e': 5.737700841867636}",25,0,-143.74270860442425,"{0: 16, 1: 5, 2: 0, 3: 1, 4: 3}",0
331,False,"{'a': 0.995, 'e': 5.709012337658298}",20,3,-17.771071183635268,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 0}",1
332,False,"{'a': 0.995, 'e': 5.680467275970007}",30,0,-129.30870931246403,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
333,False,"{'a': 0.995, 'e': 5.652064939590157}",20,0,-121.9046690584531,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
334,False,"{'a': 0.995, 'e': 5.623804614892206}",20,0,-36.12256477314463,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
335,False,"{'a': 0.995, 'e': 5.5956855918177455}",25,0,-114.73940315057878,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
336,False,"{'a': 0.995, 'e': 5.567707163858657}",25,0,-142.06010194782323,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
337,False,"{'a': 0.995, 'e': 5.539868628039364}",20,0,-67.71729885886423,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
338,False,"{'a': 0.995, 'e': 5.512169284899167}",25,0,-131.7654718264037,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
339,False,"{'a': 0.995, 'e': 5.4846084384746705}",20,0,-117.23527428311353,"{0: 8, 1: 5, 2: 6, 3: 0, 4: 1}",0
340,False,"{'a': 0.995, 'e': 5.457185396282297}",25,0,-127.868242166589,"{0: 15, 1: 3, 2: 3, 3: 3, 4: 1}",0
341,False,"{'a': 0.995, 'e': 5.429899469300885}",20,0,-104.51903282650889,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
342,False,"{'a': 0.995, 'e': 5.402749971954381}",20,0,-47.824275075483634,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
343,False,"{'a': 0.995, 'e': 5.375736222094609}",25,0,-157.7703202960251,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
344,False,"{'a': 0.995, 'e': 5.348857540984136}",25,0,-109.77779757773322,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
345,False,"{'a': 0.995, 'e': 5.322113253279215}",30,0,-78.68368161179923,"{0: 21, 1: 5, 2: 2, 3: 1, 4: 1}",0
346,False,"{'a': 0.995, 'e': 5.295502687012819}",25,0,-74.21643741397897,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
347,False,"{'a': 0.995, 'e': 5.269025173577755}",25,9,-91.97695262573265,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 2}",1
348,False,"{'a': 0.995, 'e': 5.242680047709866}",25,0,-24.9904280361475,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
349,False,"{'a': 0.995, 'e': 5.216466647471317}",25,0,-143.91534563972834,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
350,False,"{'a': 0.995, 'e': 5.1903843142339605}",20,0,-122.13390037179659,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
351,False,"{'a': 0.995, 'e': 5.164432392662791}",25,0,-133.13579337945242,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
352,False,"{'a': 0.995, 'e': 5.138610230699477}",20,0,-70.81232229227733,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
353,False,"{'a': 0.995, 'e': 5.112917179545979}",20,8,-82.6895412884804,"{0: 6, 1: 2, 2: 2, 3: 1, 4: 1}",1
354,False,"{'a': 0.995, 'e': 5.08735259364825}",30,0,-95.62943810861171,"{0: 22, 1: 4, 2: 2, 3: 0, 4: 2}",0
355,False,"{'a': 0.995, 'e': 5.061915830680008}",25,17,-20.036871549695505,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
356,False,"{'a': 0.995, 'e': 5.036606251526608}",20,0,-94.29413533369103,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
357,False,"{'a': 0.995, 'e': 5.011423220268975}",30,0,-122.87233408866345,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
358,False,"{'a': 0.995, 'e': 4.98636610416763}",20,0,-41.62089777827034,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
359,False,"{'a': 0.995, 'e': 4.961434273646792}",25,0,-89.88560452093017,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
360,False,"{'a': 0.995, 'e': 4.936627102278558}",20,9,-18.267704681233088,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
361,False,"{'a': 0.995, 'e': 4.911943966767165}",25,0,-180.8055641870174,"{0: 13, 1: 5, 2: 3, 3: 1, 4: 3}",0
362,False,"{'a': 0.995, 'e': 4.887384246933329}",35,0,-97.66226767745577,"{0: 24, 1: 3, 2: 7, 3: 0, 4: 1}",0
363,False,"{'a': 0.995, 'e': 4.862947325698662}",20,10,0.016605021830574884,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
